                         	artichoke	ruby-lipped cattleya	frangipani	pink-yellow dahlia?	buttercup	orange dahlia	red ginger	desert-rose	hippeastrum	sword lily	pelargonium	siam tulip	camellia	snapdragon	osteospermum	blanket flower	alpine sea holly	garden phlox	foxglove	japanese anemone	tree poppy	sweet pea	grape hyacinth	morning glory	king protea	thorn apple	bee balm	wild pansy	bolero deep blue	bougainvillea	peruvian lily	yellow iris	bearded iris	fritillary	black-eyed susan	stemless gentian	common dandelion	clematis	primula	bromelia	great masterwort	fire lily	lotus	english marigold	colt's foot	monkshood	spear thistle	gazania	water lily	canterbury bells	bird of paradise	tree mallow	globe thistle	californian poppy	moon orchid	mexican petunia	balloon flower	poinsettia	pincushion flower	barbeton daisy	marigold	hard-leaved pocket orchid	toad lily	mexican aster	columbine	oxeye daisy	magnolia	azalea	blackberry lily	silverbush	canna lily	passion flower	cyclamen	sunflower	petunia	daffodil	geranium	watercress	mallow	prince of wales feathers	purple coneflower	cautleya spicata	trumpet creeper	gaura	giant white arum lily	bishop of llandaff	hibiscus	ball moss	anthurium	cape flower	wallflower	love in the mist	carnation	sweet william	spring crocus	tiger lily	pink primrose	rose	globe-flower	lenten rose	windflower	corn poppy
marigold                 	0.0      	0.0                 	0.0       	1.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	0.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	0.0    	0.0     	0.0             	0.0      	0.0  	0.0             	2.0        	0.0      	0.0          	1.0    	2.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	5.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	1.0            	0.0       	1.0       	0.0           	0.0     	0.0      	0.0    	3.0     	0.0     	5.0       	1.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	2.0     	0.0      	0.0      	0.0        	4.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	2.0 	1.0         	0.0        	0.0       	0.0       
hard-leaved pocket orchid	0.0      	1.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	1.0        	1.0        	1.0       	0.0        	0.0       	1.0     	0.0       	0.0         	0.0           	0.0             	0.0         	2.0     	1.0             	1.0       	0.0      	0.0           	0.0          	0.0        	2.0        	0.0     	0.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	0.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	3.0            	0.0           	0.0       	0.0              	0.0           	0.0     	19.0                     	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	1.0       	0.0       	1.0           	1.0     	0.0      	1.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	1.0              	0.0             	0.0            	0.0  	1.0                  	0.0               	1.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
toad lily                	0.0      	0.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	0.0        	0.0       	1.0     	1.0       	0.0         	0.0           	2.0             	0.0         	3.0     	1.0             	0.0       	2.0      	1.0           	0.0          	0.0        	0.0        	0.0     	2.0       	0.0             	1.0          	1.0          	0.0        	0.0         	2.0       	0.0             	0.0             	0.0             	1.0     	0.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	2.0      	0.0          	0.0    	0.0       	1.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	1.0       	0.0              	0.0           	0.0     	0.0                      	3.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	0.0       	4.0           	0.0     	0.0      	4.0    	0.0     	0.0     	0.0       	1.0   	0.0                     	0.0              	1.0             	0.0            	3.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	2.0        	0.0       	2.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	1.0        	0.0       	0.0       
mexican aster            	1.0      	1.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	1.0        	0.0        	0.0       	1.0        	0.0       	1.0     	1.0       	1.0         	0.0           	0.0             	0.0         	1.0     	3.0             	1.0       	0.0      	0.0           	1.0          	0.0        	6.0        	0.0     	1.0       	1.0             	1.0          	2.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	1.0     	0.0    	0.0     	1.0             	0.0      	1.0  	0.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	0.0             	3.0        	1.0          	0.0              	0.0        	1.0            	0.0           	0.0       	1.0              	2.0           	0.0     	0.0                      	0.0      	2.0          	0.0      	3.0        	3.0     	4.0   	0.0            	0.0       	0.0       	9.0           	1.0     	0.0      	3.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	3.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	1.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	2.0          	2.0 	0.0         	0.0        	1.0       	0.0       
columbine                	0.0      	2.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	1.0       	2.0        	1.0       	0.0     	1.0       	0.0         	0.0           	0.0             	0.0         	0.0     	2.0             	0.0       	1.0      	0.0           	1.0          	1.0        	2.0        	0.0     	1.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	3.0     	0.0    	0.0     	0.0             	0.0      	3.0  	0.0             	0.0        	0.0      	0.0          	0.0    	2.0       	0.0             	0.0             	1.0        	0.0          	0.0              	0.0        	1.0            	2.0           	0.0       	2.0              	0.0           	0.0     	0.0                      	1.0      	2.0          	5.0      	0.0        	0.0     	0.0   	0.0            	0.0       	0.0       	7.0           	1.0     	0.0      	4.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	2.0  	0.0                  	0.0               	0.0     	0.0      	1.0      	1.0        	0.0       	2.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
oxeye daisy              	0.0      	0.0                 	7.0       	0.0                	1.0      	0.0          	0.0       	0.0        	1.0        	0.0       	0.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	0.0     	1.0             	9.0       	0.0      	0.0           	1.0          	0.0        	2.0        	0.0     	0.0       	0.0             	0.0          	1.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	0.0    	0.0     	0.0             	0.0      	2.0  	0.0             	0.0        	0.0      	0.0          	0.0    	5.0       	0.0             	0.0             	0.0        	0.0          	1.0              	0.0        	0.0            	1.0           	0.0       	1.0              	0.0           	0.0     	1.0                      	0.0      	0.0          	1.0      	9.0        	0.0     	0.0   	0.0            	2.0       	0.0       	2.0           	0.0     	0.0      	4.0    	0.0     	0.0     	1.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	2.0                  	0.0               	1.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	1.0          	1.0 	0.0         	0.0        	4.0       	0.0       
magnolia                 	0.0      	0.0                 	5.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	0.0        	1.0       	0.0     	1.0       	0.0         	0.0           	0.0             	0.0         	1.0     	0.0             	2.0       	0.0      	0.0           	0.0          	1.0        	1.0        	1.0     	0.0       	0.0             	1.0          	1.0          	0.0        	1.0         	1.0       	0.0             	0.0             	0.0             	2.0     	0.0    	3.0     	3.0             	0.0      	2.0  	0.0             	0.0        	0.0      	0.0          	0.0    	1.0       	1.0             	0.0             	0.0        	0.0          	0.0              	1.0        	0.0            	0.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	2.0      	0.0        	6.0     	0.0   	0.0            	0.0       	0.0       	1.0           	0.0     	0.0      	1.0    	1.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	1.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	1.0 	0.0         	0.0        	2.0       	0.0       
azalea                   	0.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	3.0        	0.0        	2.0       	1.0        	0.0       	1.0     	0.0       	0.0         	0.0           	0.0             	1.0         	4.0     	0.0             	0.0       	1.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	8.0          	3.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	2.0     	3.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	0.0             	2.0        	0.0          	0.0              	0.0        	0.0            	0.0           	3.0       	0.0              	2.0           	0.0     	0.0                      	1.0      	0.0          	0.0      	0.0        	0.0     	10.0  	0.0            	0.0       	0.0       	0.0           	3.0     	0.0      	5.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	2.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	1.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	6.0          	0.0          	0.0       	0.0          	1.0 	0.0         	0.0        	0.0       	0.0       
blackberry lily          	0.0      	0.0                 	2.0       	2.0                	1.0      	2.0          	0.0       	0.0        	0.0        	1.0       	0.0        	0.0       	0.0     	1.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	2.0          	0.0          	0.0        	0.0         	0.0       	1.0             	0.0             	1.0             	0.0     	0.0    	2.0     	0.0             	2.0      	0.0  	0.0             	1.0        	0.0      	0.0          	0.0    	3.0       	0.0             	2.0             	0.0        	0.0          	1.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	5.0            	0.0       	3.0       	0.0           	0.0     	0.0      	1.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	2.0            	0.0  	0.0                  	0.0               	1.0     	0.0      	1.0      	0.0        	3.0       	0.0             	0.0      	0.0          	0.0          	1.0       	0.0          	5.0 	0.0         	0.0        	0.0       	1.0       
silverbush               	0.0      	3.0                 	2.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	1.0       	0.0        	0.0       	1.0     	0.0       	0.0         	0.0           	0.0             	0.0         	0.0     	1.0             	1.0       	0.0      	0.0           	1.0          	2.0        	5.0        	1.0     	2.0       	0.0             	0.0          	0.0          	0.0        	0.0         	1.0       	0.0             	0.0             	0.0             	2.0     	0.0    	0.0     	1.0             	0.0      	7.0  	0.0             	0.0        	0.0      	0.0          	0.0    	4.0       	0.0             	0.0             	0.0        	0.0          	0.0              	4.0        	0.0            	2.0           	0.0       	1.0              	1.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	2.0     	0.0   	0.0            	8.0       	0.0       	6.0           	1.0     	0.0      	9.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	1.0  	2.0                  	0.0               	0.0     	1.0      	0.0      	1.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	2.0       	0.0       
canna lily               	0.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	1.0        	1.0       	0.0        	0.0       	1.0     	0.0       	0.0         	1.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	0.0          	1.0          	0.0        	0.0         	0.0       	0.0             	0.0             	1.0             	0.0     	0.0    	1.0     	0.0             	1.0      	0.0  	2.0             	0.0        	0.0      	0.0          	2.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	1.0   	1.0            	0.0       	8.0       	0.0           	0.0     	1.0      	0.0    	2.0     	0.0     	4.0       	2.0   	0.0                     	0.0              	0.0             	1.0            	0.0  	0.0                  	0.0               	1.0     	0.0      	2.0      	0.0        	1.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	3.0 	1.0         	0.0        	0.0       	0.0       
passion flower           	1.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	2.0        	1.0        	0.0       	0.0        	1.0       	1.0     	0.0       	0.0         	0.0           	0.0             	1.0         	3.0     	0.0             	0.0       	1.0      	0.0           	3.0          	0.0        	1.0        	0.0     	0.0       	0.0             	2.0          	0.0          	0.0        	0.0         	1.0       	0.0             	0.0             	0.0             	6.0     	1.0    	0.0     	0.0             	0.0      	2.0  	0.0             	0.0        	0.0      	0.0          	0.0    	2.0       	0.0             	0.0             	0.0        	0.0          	0.0              	1.0        	1.0            	0.0           	0.0       	1.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	5.0      	0.0        	0.0     	0.0   	0.0            	1.0       	0.0       	18.0          	1.0     	0.0      	1.0    	0.0     	0.0     	0.0       	1.0   	0.0                     	2.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	1.0      	0.0      	0.0        	0.0       	0.0             	1.0      	0.0          	2.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
cyclamen                 	1.0      	0.0                 	1.0       	0.0                	0.0      	0.0          	0.0       	4.0        	0.0        	1.0       	0.0        	0.0       	1.0     	0.0       	0.0         	0.0           	0.0             	0.0         	1.0     	1.0             	1.0       	3.0      	0.0           	0.0          	2.0        	1.0        	0.0     	0.0       	0.0             	3.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	1.0     	3.0    	2.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	5.0       	0.0             	1.0             	1.0        	0.0          	0.0              	0.0        	0.0            	1.0           	1.0       	1.0              	5.0           	0.0     	1.0                      	0.0      	0.0          	1.0      	0.0        	2.0     	3.0   	0.0            	0.0       	0.0       	0.0           	18.0    	0.0      	3.0    	0.0     	0.0     	0.0       	1.0   	0.0                     	0.0              	0.0             	1.0            	0.0  	1.0                  	0.0               	4.0     	3.0      	1.0      	0.0        	0.0       	0.0             	2.0      	2.0          	0.0          	0.0       	0.0          	1.0 	0.0         	0.0        	0.0       	1.0       
sunflower                	0.0      	0.0                 	0.0       	0.0                	0.0      	0.0          	0.0       	0.0        	0.0        	1.0       	0.0        	0.0       	0.0     	0.0       	0.0         	1.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	1.0          	0.0          	0.0        	0.0         	0.0       	2.0             	0.0             	0.0             	0.0     	1.0    	0.0     	0.0             	0.0      	0.0  	4.0             	0.0        	0.0      	0.0          	1.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	2.0           	1.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	3.0       	0.0           	0.0     	22.0     	0.0    	0.0     	0.0     	1.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	0.0        	3.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	1.0         	1.0        	0.0       	0.0       
petunia                  	2.0      	2.0                 	3.0       	2.0                	0.0      	0.0          	0.0       	0.0        	2.0        	1.0       	3.0        	0.0       	1.0     	0.0       	0.0         	0.0           	0.0             	0.0         	1.0     	0.0             	0.0       	0.0      	0.0           	0.0          	1.0        	1.0        	0.0     	1.0       	0.0             	1.0          	1.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	1.0     	1.0    	0.0     	2.0             	0.0      	4.0  	0.0             	0.0        	0.0      	0.0          	0.0    	2.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	1.0            	0.0           	0.0       	2.0              	0.0           	0.0     	0.0                      	2.0      	0.0          	1.0      	0.0        	0.0     	1.0   	0.0            	1.0       	0.0       	6.0           	2.0     	0.0      	7.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	1.0              	0.0             	0.0            	2.0  	2.0                  	0.0               	1.0     	0.0      	1.0      	5.0        	0.0       	0.0             	1.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
daffodil                 	0.0      	0.0                 	3.0       	0.0                	1.0      	0.0          	1.0       	0.0        	0.0        	0.0       	0.0        	0.0       	0.0     	1.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	1.0        	0.0     	1.0       	0.0             	0.0          	0.0          	1.0        	0.0         	0.0       	0.0             	0.0             	2.0             	0.0     	1.0    	0.0     	0.0             	0.0      	0.0  	0.0             	3.0        	0.0      	0.0          	1.0    	9.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	1.0     	0.0                      	0.0      	0.0          	1.0      	1.0        	1.0     	0.0   	0.0            	0.0       	1.0       	0.0           	0.0     	0.0      	1.0    	3.0     	0.0     	0.0       	0.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	1.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	2.0 	0.0         	0.0        	0.0       	0.0       
geranium                 	0.0      	0.0                 	0.0       	1.0                	0.0      	4.0          	1.0       	0.0        	0.0        	1.0       	0.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	1.0     	0.0       	0.0             	0.0          	1.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	0.0    	0.0     	0.0             	0.0      	0.0  	2.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	1.0       	0.0              	3.0           	1.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	1.0            	0.0       	0.0       	0.0           	0.0     	0.0      	2.0    	0.0     	52.0    	1.0       	1.0   	0.0                     	0.0              	0.0             	1.0            	0.0  	0.0                  	9.0               	3.0     	0.0      	6.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	4.0 	0.0         	1.0        	0.0       	1.0       
watercress               	0.0      	0.0                 	1.0       	0.0                	2.0      	0.0          	0.0       	0.0        	0.0        	2.0       	0.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	3.0             	0.0             	0.0             	0.0     	2.0    	1.0     	0.0             	0.0      	0.0  	2.0             	0.0        	0.0      	0.0          	3.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	3.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	1.0       	0.0           	0.0     	5.0      	0.0    	0.0     	0.0     	40.0      	2.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	0.0               	1.0     	0.0      	0.0      	0.0        	4.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
mallow                   	0.0      	0.0                 	3.0       	6.0                	0.0      	0.0          	0.0       	1.0        	0.0        	1.0       	0.0        	0.0       	1.0     	1.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	1.0        	0.0        	0.0     	0.0       	0.0             	0.0          	1.0          	1.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	0.0    	1.0     	0.0             	0.0      	1.0  	0.0             	0.0        	0.0      	0.0          	0.0    	3.0       	0.0             	1.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	1.0           	0.0     	0.0                      	0.0      	0.0          	3.0      	0.0        	0.0     	1.0   	0.0            	0.0       	0.0       	0.0           	0.0     	0.0      	1.0    	0.0     	0.0     	0.0       	2.0   	1.0                     	0.0              	1.0             	1.0            	0.0  	0.0                  	0.0               	1.0     	0.0      	1.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	1.0 	0.0         	1.0        	0.0       	0.0       
prince of wales feathers 	0.0      	0.0                 	2.0       	0.0                	0.0      	1.0          	0.0       	0.0        	0.0        	0.0       	0.0        	0.0       	0.0     	1.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	1.0     	0.0       	0.0             	0.0          	0.0          	1.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	1.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	1.0             	0.0        	0.0          	3.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	1.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	0.0   	0.0            	0.0       	0.0       	0.0           	0.0     	0.0      	0.0    	0.0     	0.0     	8.0       	1.0   	7.0                     	0.0              	0.0             	0.0            	0.0  	0.0                  	1.0               	1.0     	0.0      	0.0      	0.0        	13.0      	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
purple coneflower        	0.0      	0.0                 	0.0       	1.0                	0.0      	0.0          	0.0       	0.0        	0.0        	1.0       	1.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	1.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	1.0     	0.0       	0.0             	0.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	0.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	1.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	0.0        	0.0     	0.0   	0.0            	0.0       	1.0       	1.0           	0.0     	0.0      	5.0    	0.0     	0.0     	0.0       	0.0   	0.0                     	17.0             	1.0             	0.0            	0.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	0.0        	0.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	1.0        	0.0       	0.0       
cautleya spicata         	0.0      	0.0                 	4.0       	3.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	0.0        	0.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	3.0     	2.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	0.0          	0.0          	1.0        	0.0         	4.0       	0.0             	1.0             	0.0             	0.0     	0.0    	0.0     	0.0             	1.0      	0.0  	0.0             	2.0        	0.0      	1.0          	0.0    	1.0       	0.0             	4.0             	0.0        	0.0          	2.0              	0.0        	0.0            	0.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	1.0      	0.0        	0.0     	0.0   	1.0            	0.0       	0.0       	1.0           	0.0     	1.0      	5.0    	0.0     	0.0     	2.0       	4.0   	0.0                     	0.0              	12.0            	1.0            	6.0  	0.0                  	0.0               	0.0     	0.0      	0.0      	1.0        	0.0       	0.0             	0.0      	0.0          	0.0          	1.0       	0.0          	0.0 	1.0         	1.0        	0.0       	0.0       
trumpet creeper          	0.0      	0.0                 	0.0       	2.0                	0.0      	0.0          	0.0       	0.0        	0.0        	1.0       	0.0        	0.0       	1.0     	0.0       	0.0         	1.0           	0.0             	1.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	0.0        	0.0        	0.0     	0.0       	0.0             	1.0          	0.0          	0.0        	0.0         	0.0       	0.0             	0.0             	0.0             	0.0     	1.0    	1.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	0.0       	0.0             	0.0             	0.0        	0.0          	0.0              	0.0        	0.0            	0.0           	2.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	0.0          	0.0      	0.0        	0.0     	2.0   	0.0            	0.0       	0.0       	0.0           	0.0     	0.0      	3.0    	0.0     	2.0     	1.0       	0.0   	0.0                     	0.0              	0.0             	3.0            	0.0  	0.0                  	1.0               	2.0     	0.0      	0.0      	0.0        	3.0       	0.0             	0.0      	0.0          	0.0          	0.0       	0.0          	0.0 	0.0         	0.0        	0.0       	0.0       
gaura                    	2.0      	0.0                 	2.0       	3.0                	0.0      	0.0          	1.0       	0.0        	0.0        	2.0       	2.0        	0.0       	0.0     	1.0       	0.0         	0.0           	4.0             	0.0         	5.0     	3.0             	0.0       	1.0      	0.0           	0.0          	0.0        	0.0        	1.0     	1.0       	0.0             	1.0          	0.0          	1.0        	1.0         	3.0       	0.0             	1.0             	0.0             	1.0     	1.0    	0.0     	0.0             	0.0      	0.0  	0.0             	0.0        	0.0      	0.0          	0.0    	1.0       	0.0             	0.0             	0.0        	1.0          	0.0              	0.0        	0.0            	0.0           	0.0       	1.0              	0.0           	0.0     	0.0                      	1.0      	0.0          	1.0      	0.0        	1.0     	0.0   	0.0            	1.0       	0.0       	4.0           	2.0     	0.0      	13.0   	0.0     	0.0     	0.0       	0.0   	0.0                     	2.0              	0.0             	0.0            	11.0 	0.0                  	0.0               	0.0     	0.0      	0.0      	1.0        	0.0       	1.0             	0.0      	0.0          	1.0          	0.0       	0.0          	1.0 	0.0         	2.0        	0.0       	0.0       
giant white arum lily    	0.0      	3.0                 	4.0       	1.0                	0.0      	0.0          	0.0       	0.0        	0.0        	0.0       	0.0        	1.0       	0.0     	0.0       	0.0         	0.0           	0.0             	0.0         	0.0     	0.0             	0.0       	0.0      	0.0           	0.0          	1.0        	11.0       	1.0     	2.0       	0.0             	0.0          	0.0          	0.0        	0.0         	2.0       	0.0             	0.0             	0.0             	0.0     	0.0    	0.0     	2.0             	0.0      	4.0  	0.0             	0.0        	0.0      	0.0          	0.0    	4.0       	0.0             	0.0             	0.0        	0.0          	1.0              	0.0        	1.0            	1.0           	0.0       	0.0              	0.0           	0.0     	0.0                      	0.0      	1.0          	0.0      	1.0        	0.0     	0.0   	0.0            	1.0       	0.0       	3.0           	4.0     	0.0      	7.0    	0.0     	0.0     	0.0       	1.0   	0.0                     	0.0              	0.0             	0.0            	0.0  	9.0                  	0.0               	0.0     	0.0      	1.0      	0.0        	0.0       	0.0             	0.0      	0.0          	2.0          	0.0       	0.0          	1.0 	0.0         	0.0        	3.0       	0.0       
